Phone Brand,Phone Model,SKU Code,Upcoming Series,Released Date,Phone Price,item_height,item_length,item_width,MRP,SELLING PRICE
Asus,Asus ZENFONE 2 LASER ZE550KL,ASUSZF2LZE550KLUCASE,,08/15,"Rs. 8,999.00",1.08,15.25,7.72,799,699
Asus,Asus ZENFONE 2 LASER ZE601KL,ASUSZF2LZE601KLUCASE,,08/15,"Rs. 17,999.00",1.06,16.46,8.4,899,799
Asus,Asus Zenfone 5 A501CG,ASUSZF5UCASE,1,01/15,"Rs. 8,699.00",1.03,14.82,7.28,699,599
Asus,Asus Zenfone 6 A600CG,ASUSZF6UCASE,1,01/14,"Rs. 18,090.00",0.99,16.69,8.43,699,599
Asus,Asus Zenfone Max ZC550KL,ASUSZFMAXZC550KLUCASE,,01/16,"Rs. 9,999.00",1.06,15.6,7.75,699,599
Asus,Asus Zenfone Selfie ZD551KL,ASUSZFSUCASE,1,08/15,"Rs. 16,999.00",1.08,15.65,7.72,699,599
BlackBerry,BlackBerry Z10,BBZ10UCASE,946,01/13,"Rs. 10,240.00",0.9,13,6.56,699,599
Coolpad,Coolpad Max,COOLPADMAXUCASE,,06/16,"Rs. 24,999.00",0.76,15.2,7.57,899,799
Coolpad,Coolpad Note 3,COOLPADNOTE3UCASE,,10/15,"Rs. 8,499.00",0.93,15.1,7.7,799,699
Coolpad,Coolpad Note 3 Lite,COOLPADNOTE3LUCASE,,01/16,"Rs. 6,999.00",0.89,14.08,7.04,699,599
Gionee,Gionee Elife E8,GIOEE8UCASE,946,10/15,"Rs. 33,250.00",0.96,16.4,8.23,1149,1049
Gionee,Gionee Marathon M5,GIOM5UCASE,946,11/15,"Rs. 26,999.00",0.86,15.2,7.6,799,699
Gionee,Gionee S6,GIOS6UCASE,946,11/15,"Rs. 19,999.00",0.69,15.19,7.46,999,899
HTC,HTC 10,HTC10UCASE,,05/16,"Rs. 52,990.00",0.9,14.59,7.19,1185,1085
HTC,HTC Desire 626,HTCD626UCASE,946,03/15,"Rs. 11,970.00",0.82,14.69,7.09,999,899
HTC,HTC Desire 728,HTCD728UCASE,946,11/15,"Rs. 13,675.00",0.79,15.79,7.78,999,899
HTC,HTC Desire 816,HTCD816UCASE,1078,03/14,"Rs. 35,000.00",0.79,15.66,7.87,999,899
